id_sortie,bateau,date_sortie,zone,espece,quantite_kg
142,Croix du Sud,02/10/2024,Crozet-Ouest,Langouste,50.5
143,Cap Horn,24/08/23,Kerguelen-Sud,Poulpe austral,21.0
144,Pointe Geologie,28/07/2023,Kerguelen-Sud,Legine australe,481.8
145,Curieuse,21/12/24,Kerguelen-Sud,Legine australe,178.9
146,Curieuse,12/12/2024,Crozet-Est,Langouste,66.1
147,Cap Horn,24-05-2024,Crozet-Ouest,Legine australe,135.5
148,Amsterdam I,2023-06-12,Crozet-Ouest,Raie,12.4
149,Cap Horn,16/11/23,Crozzet-Est,Poulpe austral,39.5
150,Pointe Geologie,05/06/25,Kerguelen-Sud,Raie,12.2
151,Pointe Geologie,10/02/25,Crozet-Est,Raie,2.5
152,Cap Horn,17/10/25,Kerguelen-Golfe du Morbihan,Legine australe,657.4
153,Croix du Sud,2024-10-16,,Poisson des glaces,90.4
154,Pointe Geologie,2025-02-17,Kerguelen-Sud,Poisson des glaces,62.9
155,Pointe Geologie,13/05/24,crozet est,Raie,n/a
156,Cap Horn,13-11-2025,Kerguelen-Golfe du Morbihan,Langouste,91.6
157,Kerguelen Etoile,21/05/24,Crozet-Est,Raie,13.2
158,Pointe Geologie,23/11/2023,Kerguelen-Sud,Poulpe austral,15.8
159,Kerguelen Etoile,25/06/23,Crozet-Ouest,Langouste,n/a
160,Cap Horn,27/09/2025,Kerguelen Nord,Poulpe austral,8.2
161,Curieuse,15/12/2023,Crozet-Ouest,Poisson des glaces,76.5
162,Saint Paul,08-09-2023,,Poisson des glaces,23.4
163,Curieuse,25-08-2024,Zone inconnue,Langouste,122.2
164,Kerguelen Etoile,21/01/24,Crozet Est ,Poulpe austral,12.8
165,Kerguelen Etoile,2024-08-17,Crozet Est ,Langouste,133.8
166,Austral Leader,13-01-2024,Crozet-Est,Raie,7.1
167,Cap Horn,2025-11-11,Kerguelen-Nord,Poisson des glaces,18.2
168,Saint Paul,01/10/2024,Crozet-Ouest,Langouste,111.8
169,Amsterdam I,25-02-2024,Crozet-Est,Legine australe,529.2
170,Curieuse,04/02/24,Crozet-Est,Poulpe austral,29.3
171,Albatros II,20-01-2024,Kerguelen-Sud,Langouste,22.0
172,Pointe Geologie,18/09/2023,Kerguelen-Sud,Legine australe,785.8
173,Albatros II,12/01/2025,Crozet-Est,Poulpe austral,14.6
174,Austral Leader,2024-09-11,Crozzet-Est,Poisson des glaces,82.1
175,Cap Horn,02-08-2025,Crozet-Ouest,Legine australe,282.6
176,Marion Dufresne (peche),09/08/2025,kerguelen-sud,Raie,15.8
177,Pointe Geologie,26-02-2024,Kerguelen-Sud,Poisson des glaces,41.7
178,Kerguelen Etoile,16-12-2024,,Poulpe austral,5.1
179,Marion Dufresne (peche),2023-07-20,Kerguelen-Nord,Legine australe,-34.7
180,Albatros II,23/10/24,Kerguelen-Sud,Raie,14.8
181,Pointe Geologie,09/07/2025,Kerguelen-Sud,Raie,15.2
182,Kerguelen Etoile,28/03/23,Crozet-Est,Langouste,61.3
183,Marion Dufresne (peche),2025-01-20,Kerguelen nord ,Raie,2.5
184,Kerguelen Etoile,13-06-2025,Crozet-Ouest,Legine australe,
185,Kerguelen Etoile,13/09/2024,Kerguelen-Nord,Poisson des glaces,63.1
186,Saint Paul,05/02/2023,Kerguelen-Sud,Legine australe,775.7
187,Pointe Geologie,23/06/2025,Kerguelen-Nord,Raie,14.5
188,Kerguelen Etoile,08/09/2024,,Langouste,79.2
189,Pointe Geologie,12/10/25,Kerguelen Nord,Poulpe austral,4.5
190,Marion Dufresne (peche),16/12/25,Crozet Est ,Langouste,99.9
191,Saint Paul,17-11-2024,Kerguelen-Golfe du Morbihan,Poulpe austral,38.7
192,Marion Dufresne (peche),27/01/2025,Kerguelen-Nord,Langouste,140.9
193,Croix du Sud,10/09/2024,Kerguelen-Golfe du Morbihan,Raie,6.8
194,Amsterdam I,2023-09-21,Kerguelen-Golfe du Morbihan,Langouste,97.4
195,Curieuse,02/10/2024,Kerguelen-Golfe du Morbihan,Raie,15.6
196,Marion Dufresne (peche),01/11/25,Crozet-Ouest ,Raie,16.3
197,Marion Dufresne (peche),03/08/2024,Kerguelen-Sud,Poisson des glaces,37.3
198,Kerguelen Etoile,11-12-2024,,Langouste,82.1
199,Cap Horn,15/04/2024,Crozet-Ouest,Langouste,-18.1
200,Marion Dufresne (peche),2025-07-08,Kerguelen nord ,Langouste,79.8
201,Amsterdam I,10/08/24,Kerguelen-Sud,Poulpe austral,11.1
202,Curieuse,02-01-2024,Kerguelen-Sud,Raie,17.1
203,Marion Dufresne (peche),24-05-2023,Kerguelen nord ,Legine australe,477.7
204,Croix du Sud,10/09/2024,Kerguelen-Sud,Poulpe austral,39.6
205,Curieuse,04/03/23,Kerguelen-Nord,Poulpe austral,30.7
206,Croix du Sud,13/09/2025,Crozet-Ouest,Raie,10.9
207,Kerguelen Etoile,05-09-2025,,Raie,19.8
208,Albatros II,17/06/25,Crozet-Ouest ,Poisson des glaces,40.0
209,Cap Horn,10/10/2024,Kerguelen-Nord,Poulpe austral,29.4
210,Curieuse,17/03/24,Crozet-Ouest,Legine australe,575.4
211,Croix du Sud,11/08/23,Crozet-Ouest,Poisson des glaces,63.1
212,Saint Paul,2025-12-02,Kerguelen-Golfe du Morbihan,Raie,10.1
213,Marion Dufresne (peche),15-03-2024,Kerguelen-Nord,Poulpe austral,38.4
214,Albatros II,08-05-2025,kerguelen-sud,Poisson des glaces,38.1
215,Albatros II,19/02/24,Zone inconnue,Raie,16.3
216,Albatros II,23/05/2023,Kerguelen-Sud,Raie,5.1
217,Amsterdam I,23-09-2024,Kerguelen-Golfe du Morbihan,Poulpe austral,3.9
218,Amsterdam I,08/11/2023,Kerguelen-Nord,Poisson des glaces,78.2
219,Austral Leader,14/03/25,Crozet-Ouest,Raie,13.3
220,Cap Horn,08/10/2025,,Langouste,127.3
221,Austral Leader,06-08-2024,crozet est,Raie,3.0
222,Pointe Geologie,21/08/24,Kerguelen Nord,Poulpe austral,9.3
223,Cap Horn,24/03/24,Crozet-Ouest,Legine australe,643.1
224,Curieuse,06/04/25,Kerguelen nord ,Legine australe,121.5
225,Kerguelen Etoile,08/06/2024,Crozet-Ouest,Poisson des glaces,95.6
226,Albatros II,19/12/2025,Kerguelen-Nord,Langouste,n/a
227,Cap Horn,06/05/24,Crozet-Ouest ,Legine australe,755.5
228,Pointe Geologie,2025-04-08,Kerguelen-Sud,Poulpe austral,28.7
229,Saint Paul,2025-11-27,Crozet Est ,Poulpe austral,28.7
230,Cap Horn,2025-02-02,Crozet-Ouest,Langouste,82.8
231,Cap Horn,23/04/25,Kerguelen-Golfe du Morbihan,Poisson des glaces,48.1
232,Amsterdam I,19/08/2024,Kerguelen-Nord,Legine australe,662.3
233,Croix du Sud,02/02/25,Crozet-Est,Poulpe austral,37.5
234,Cap Horn,10/01/24,Crozet-Ouest,Poisson des glaces,89.7
235,Saint Paul,2024-07-03,Kerguelen nord ,Legine australe,452.9
236,Amsterdam I,08/12/2023,Crozet-Ouest ,Poisson des glaces,56.7
237,Amsterdam I,08/04/24,Kerguelen-Nord,Langouste,111.5
238,Cap Horn,14/11/2023,Crozet-Est,Legine australe,384.8
239,Austral Leader,02/12/23,Kerguelen-Golfe du Morbihan,Langouste,118.6
240,Kerguelen Etoile,08-05-2025,Kerguelen-Nord,Langouste,30.1
241,Amsterdam I,10-07-2023,Kerguelen-Golfe du Morbihan,Langouste,69.8
242,Saint Paul,21/06/23,Kerguelen nord ,Poisson des glaces,33.5
243,Kerguelen Etoile,2025-08-08,Crozet-Ouest,Poisson des glaces,58.4
244,Marion Dufresne (peche),05/09/25,Crozet-Ouest,Raie,18.5
245,Pointe Geologie,2023-09-24,Kerguelen-Sud,Poulpe austral,35.2
246,Croix du Sud,2025-12-22,Kerguelen-Nord,Raie,1.3
247,Croix du Sud,24/02/25,,Poulpe austral,17.1
248,Croix du Sud,25-06-2025,Kerguelen-Golfe du Morbihan,Raie,7.8
249,Saint Paul,26/02/24,Kerguelen nord ,Langouste,68.0
250,Curieuse,05/12/2023,Kerguelen-Golfe du Morbihan,Poulpe austral,13.2
251,Croix du Sud,2024-04-13,Kerguelen-Nord,Raie,10.3
252,Saint Paul,24-03-2024,Kerguelen-Golfe du Morbihan,Poisson des glaces,89.5
253,Austral Leader,27/01/2025,,Legine australe,359.3
254,Croix du Sud,05/12/2023,Kerguelen-Sud,Raie,n/a
255,Curieuse,16/11/2024,Kerguelen-Golfe du Morbihan,Poisson des glaces,
256,Amsterdam I,18-05-2025,Kerguelen-Sud,Langouste,23.5
257,Kerguelen Etoile,20-04-2023,Crozet-Ouest ,Poisson des glaces,n/a
258,Marion Dufresne (peche),2024-10-08,Crozet-Est,Legine australe,-22.1
259,Amsterdam I,21/01/2024,Crozet Est ,Poisson des glaces,66.3
260,Pointe Geologie,17/02/2025,Kerguelen-Golfe du Morbihan,Poisson des glaces,92.8
261,Albatros II,22/10/2025,Kerguelen-Nord,Legine australe,490.3
262,Marion Dufresne (peche),2023-05-06,Kerguelen-Sud,Poulpe austral,30.7
263,Kerguelen Etoile,03-12-2025,Kerguelen-Sud,Langouste,57.7
264,Curieuse,25-07-2025,Kerguelen-Nord,Poisson des glaces,38.8
265,Marion Dufresne (peche),22/03/24,Kerguelen-Golfe du Morbihan,Raie,14.5
266,Cap Horn,2024-03-13,Kerguelen nord ,Raie,1.1
267,Albatros II,25-06-2024,Crozet-Est,Langouste,88.0
268,Amsterdam I,01/02/2024,Crozet-Est,Poulpe austral,14.3
269,Marion Dufresne (peche),14/05/23,kerguelen-sud,Poulpe austral,28.0
270,Kerguelen Etoile,10-05-2023,Crozet-Est,Langouste,69.0
271,Saint Paul,2023-06-09,Crozzet-Est,Poulpe austral,19.4
272,Kerguelen Etoile,13-01-2024,Zone inconnue,Raie,9.2
273,Curieuse,2023-05-11,Crozet-Ouest,Poisson des glaces,32.7
274,Saint Paul,11/04/25,Kerguelen-Sud,Raie,11.7
275,Curieuse,22/03/2025,,Poisson des glaces,24.9
276,Albatros II,27/02/25,Kerguelen Nord,Raie,13.5
277,Marion Dufresne (peche),15/02/24,Kerguelen-Golfe du Morbihan,Poulpe austral,35.0
278,Marion Dufresne (peche),26-01-2025,Crozet Est ,Legine australe,543.2
279,Pointe Geologie,20/11/2023,Kerguelen-Sud,Raie,9.2
280,Austral Leader,2023-05-08,Kerguelen-Sud,Poisson des glaces,60.9
281,Amsterdam I,01/06/23,Kerguelen-Sud,Legine australe,755.5
282,Kerguelen Etoile,11/05/24,Crozzet-Est,Raie,9.3
283,Saint Paul,10/02/2024,Crozet Est ,Legine australe,536.0
284,Kerguelen Etoile,2025-04-17,Kerguelen-Nord,Poulpe austral,19.6
285,Marion Dufresne (peche),06/03/25,Kerguelen-Golfe du Morbihan,Langouste,70.1
286,Austral Leader,07-04-2025,Crozet Est ,Poulpe austral,35.1
287,Kerguelen Etoile,07/06/24,Kerguelen-Sud,Poulpe austral,13.9
288,Marion Dufresne (peche),19/07/2025,Kerguelen-Sud,Poulpe austral,27.6
289,Albatros II,2025-10-03,Crozet-Ouest,Raie,8.1
290,Kerguelen Etoile,2025-07-14,Kerguelen-Sud,Langouste,85.2
291,Kerguelen Etoile,16-03-2025,Kerguelen-Nord,Poisson des glaces,87.2
292,Austral Leader,07/03/24,,Poulpe austral,17.5
293,Saint Paul,27/12/24,Crozet-Est,Poulpe austral,
294,Croix du Sud,2024-01-09,Crozet-Ouest,Poisson des glaces,78.4
295,Saint Paul,04/09/2025,Kerguelen-Golfe du Morbihan,Raie,15.4
296,Saint Paul,14/04/2025,kerguelen-sud,Raie,1.6
297,Albatros II,15/02/2024,kerguelen-sud,Langouste,92.3
298,Pointe Geologie,21/10/25,Crozet-Ouest,Langouste,122.8
299,Curieuse,2024-09-09,Kerguelen-Nord,Raie,19.1
300,Amsterdam I,05/02/25,,Raie,3.4
301,Kerguelen Etoile,23-03-2023,Zone inconnue,Poisson des glaces,65.1
302,Marion Dufresne (peche),03/08/2024,Kerguelen-Nord,Raie,10.3
303,Curieuse,03/12/23,Kerguelen-Nord,Legine australe,348.3
304,Marion Dufresne (peche),09-08-2023,Kerguelen nord ,Poulpe austral,23.5
305,Saint Paul,25/11/2024,Kerguelen-Sud,Legine australe,693.2
306,Saint Paul,2024-01-14,,Langouste,52.3
307,Albatros II,12-11-2023,Crozet-Ouest,Legine australe,279.1
308,Croix du Sud,03/11/2024,Kerguelen-Sud,Legine australe,219.6
309,Saint Paul,23-01-2023,Zone inconnue,Langouste,42.1
310,Cap Horn,04-02-2025,Kerguelen-Nord,Langouste,123.9
311,Kerguelen Etoile,05/11/2025,Crozet-Est,Poulpe austral,18.7
312,Croix du Sud,05/12/25,Kerguelen-Sud,Langouste,-9.5
313,Cap Horn,13-12-2025,,Raie,5.7
314,Cap Horn,20-09-2023,crozet est,Raie,12.5
315,Croix du Sud,10/07/2025,kerguelen-sud,Poisson des glaces,27.9
316,Curieuse,01-09-2023,,Langouste,127.5
317,Marion Dufresne (peche),2024-09-22,Crozet Est ,Legine australe,60.3
318,Croix du Sud,26/01/23,Kerguelen-Golfe du Morbihan,Poisson des glaces,43.2
319,Amsterdam I,05-10-2025,Crozet-Est,Poulpe austral,39.0
320,Kerguelen Etoile,13/06/2025,Kerguelen-Sud,Langouste,n/a
321,Cap Horn,15/02/2024,Crozet-Ouest,Legine australe,
322,Kerguelen Etoile,06/01/25,,Poulpe austral,33.3
323,Albatros II,05-06-2023,Crozet Est ,Legine australe,372.0
324,Amsterdam I,23/05/2023,Kerguelen-Golfe du Morbihan,Raie,n/a
325,Curieuse,06-06-2023,Crozet Est ,Langouste,10.4
326,Austral Leader,16-01-2023,Crozet-Ouest,Langouste,130.0
327,Amsterdam I,21/12/25,Crozet-Ouest,Poisson des glaces,35.4
328,Cap Horn,04/06/2025,Kerguelen-Golfe du Morbihan,Legine australe,101.7
329,Saint Paul,11/05/2024,Crozet-Est,Raie,11.7
330,Albatros II,08/10/25,Kerguelen-Sud,Langouste,86.5
331,Croix du Sud,14/01/2023,Kerguelen-Nord,Legine australe,51.1
332,Marion Dufresne (peche),10/12/2025,Crozet-Ouest,Poisson des glaces,10.7
333,Kerguelen Etoile,03/05/2025,,Poulpe austral,36.0
334,Saint Paul,19/02/2025,Kerguelen-Sud,Legine australe,96.7
335,Kerguelen Etoile,09-05-2023,,Poisson des glaces,74.9
336,Pointe Geologie,08/05/2024,,Langouste,91.9
337,Kerguelen Etoile,15/03/23,Crozet-Est,Poulpe austral,31.3
338,Saint Paul,09/08/2024,Kerguelen-Nord,Poulpe austral,
339,Pointe Geologie,2023-02-23,,Poisson des glaces,69.3
340,Albatros II,13/01/23,Kerguelen-Golfe du Morbihan,Langouste,-9.6
341,Kerguelen Etoile,2023-01-02,Kerguelen-Sud,Raie,18.8
342,Cap Horn,09/10/2025,Crozet-Est,Langouste,72.1
343,Kerguelen Etoile,04/06/2023,,Legine australe,480.4
344,Marion Dufresne (peche),13/01/24,Crozet-Ouest,Langouste,72.4
345,Kerguelen Etoile,2023-10-20,Kerguelen-Sud,Poisson des glaces,50.5
346,Cap Horn,05/07/24,Kerguelen-Golfe du Morbihan,Langouste,122.3
347,Austral Leader,12/12/24,Kerguelen-Sud,Raie,10.5
348,Marion Dufresne (peche),01-03-2024,Crozet-Est,Raie,n/a
349,Saint Paul,2025-06-25,,Legine australe,230.9
350,Amsterdam I,2025-01-25,Kerguelen-Sud,Raie,19.8
351,Kerguelen Etoile,19-04-2023,Kerguelen nord ,Poulpe austral,
352,Pointe Geologie,2025-10-05,Crozzet-Est,Poulpe austral,20.6
353,Cap Horn,2023-04-20,Kerguelen-Sud,Legine australe,510.6
354,Kerguelen Etoile,06-12-2024,Crozet-Ouest,Poulpe austral,7.4
355,Cap Horn,03-06-2025,Zone inconnue,Poulpe austral,13.5
356,Kerguelen Etoile,14/12/23,Crozet-Ouest,Poulpe austral,37.3
357,Pointe Geologie,2023-11-19,Kerguelen-Nord,Langouste,10.3
358,Curieuse,2024-10-02,Kerguelen-Golfe du Morbihan,Langouste,24.6
359,Saint Paul,24/06/2023,Kerguelen-Nord,Langouste,144.8
360,Pointe Geologie,2024-01-09,Crozet-Est,Raie,3.1
361,Austral Leader,15/07/23,,Poisson des glaces,41.0
362,Amsterdam I,27/02/24,kerguelen-sud,Langouste,121.9
363,Austral Leader,11-01-2024,,Legine australe,715.9
364,Kerguelen Etoile,18/02/2025,Kerguelen-Golfe du Morbihan,Poisson des glaces,46.0
365,Kerguelen Etoile,06/07/2025,Crozet-Ouest,Langouste,87.6
366,Amsterdam I,10-11-2024,Crozet-Est,Poisson des glaces,84.8
367,Kerguelen Etoile,01/06/23,Kerguelen-Golfe du Morbihan,Poisson des glaces,7.4
368,Kerguelen Etoile,03/05/25,Crozet-Ouest ,Poisson des glaces,90.0
369,Albatros II,18/11/23,Kerguelen-Sud,Raie,1.8
370,Saint Paul,08-05-2024,Crozet-Ouest,Legine australe,-20.5
371,Amsterdam I,08/10/2024,Zone inconnue,Poulpe austral,37.6
372,Curieuse,10/08/2023,Crozet-Est,Poulpe austral,21.6
373,Curieuse,05/10/2025,,Poisson des glaces,98.5
374,Croix du Sud,02/03/23,Kerguelen-Sud,Langouste,97.8
375,Curieuse,24/06/2024,Kerguelen-Golfe du Morbihan,Poisson des glaces,86.4
376,Amsterdam I,26/01/24,Crozet-Ouest,Langouste,91.6
